"","ensembl_gene_id_version","mgi_id","mgi_symbol","chromosome_name","strand","start_position","end_position","description","gene_biotype"
"10239","ENSMUSG00000028128.14","MGI:88381","F3","3",1,121517186,121528697,"coagulation factor III [Source:MGI Symbol;Acc:MGI:88381]","protein_coding"
"10241","ENSMUSG00000028127.11","MGI:1349216","Abcd3","3",-1,121552423,121608951,"ATP-binding cassette, sub-family D member 3 [Source:MGI Symbol;Acc:MGI:1349216]","protein_coding"
"10246","ENSMUSG00000039831.17","MGI:2443818","Arhgap29","3",1,121746190,121810402,"Rho GTPase activating protein 29 [Source:MGI Symbol;Acc:MGI:2443818]","protein_coding"
"10248","ENSMUSG00000027957.14","MGI:1917648","Slc35a3","3",-1,116463119,116506480,"solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter), member 3 [Source:MGI Symbol;Acc:MGI:1917648]","protein_coding"
"10249","ENSMUSG00000033400.15","MGI:1924809","Agl","3",-1,116533648,116601815,"amylo-1,6-glucosidase, 4-alpha-glucanotransferase [Source:MGI Symbol;Acc:MGI:1924809]","protein_coding"
"10252","ENSMUSG00000053965.11","MGI:2651499","Pde5a","3",1,122522596,122653023,"phosphodiesterase 5A, cGMP-specific [Source:MGI Symbol;Acc:MGI:2651499]","protein_coding"
"10253","ENSMUSG00000040550.18","MGI:1919451","Otud6b","4",-1,14809498,14826587,"OTU domain containing 6B [Source:MGI Symbol;Acc:MGI:1919451]","protein_coding"
"10254","ENSMUSG00000028221.4","MGI:1919769","Pip4p2","4",1,14864076,14915176,"phosphatidylinositol-4,5-bisphosphate 4-phosphatase 2 [Source:MGI Symbol;Acc:MGI:1919769]","protein_coding"
"10257","ENSMUSG00000023057.6","MGI:95478","Fabp2","3",1,122688721,122693155,"fatty acid binding protein 2, intestinal [Source:MGI Symbol;Acc:MGI:95478]","protein_coding"
"10259","ENSMUSG00000039701.12","MGI:2139607","Usp53","3",-1,122725142,122778159,"ubiquitin specific peptidase 53 [Source:MGI Symbol;Acc:MGI:2139607]","protein_coding"
"10261","ENSMUSG00000028116.14","MGI:1913063","Myoz2","3",-1,122799855,122828664,"myozenin 2 [Source:MGI Symbol;Acc:MGI:1913063]","protein_coding"
"10267","ENSMUSG00000046818.8","MGI:1920534","Ddit4l","3",1,137327373,137334094,"DNA-damage-inducible transcript 4-like [Source:MGI Symbol;Acc:MGI:1920534]","protein_coding"
"10272","ENSMUSG00000037894.14","MGI:1888388","H2az1","3",1,137570248,137572683,"H2A.Z variant histone 1 [Source:MGI Symbol;Acc:MGI:1888388]","protein_coding"
"10277","ENSMUSG00000028124.17","MGI:104995","Gclm","3",1,122039206,122064381,"glutamate-cysteine ligase, modifier subunit [Source:MGI Symbol;Acc:MGI:104995]","protein_coding"
"10280","ENSMUSG00000039756.13","MGI:1923173","Dnttip2","3",1,122068037,122078920,"deoxynucleotidyltransferase, terminal, interacting protein 2 [Source:MGI Symbol;Acc:MGI:1923173]","protein_coding"
"10282","ENSMUSG00000028121.9","MGI:1352501","Bcar3","3",1,122087785,122323840,"breast cancer anti-estrogen resistance 3 [Source:MGI Symbol;Acc:MGI:1352501]","protein_coding"
"10289","ENSMUSG00000044365.17","MGI:2442112","Cxxc4","3",1,133942245,133967922,"CXXC finger 4 [Source:MGI Symbol;Acc:MGI:2442112]","protein_coding"
"10297","ENSMUSG00000028184.14","MGI:2139714","Adgrl2","3",-1,148521219,148696191,"adhesion G protein-coupled receptor L2 [Source:MGI Symbol;Acc:MGI:2139714]","protein_coding"
"10302","ENSMUSG00000028179.13","MGI:1339968","Cth","3",-1,157599885,157630714,"cystathionine gamma lyase [Source:MGI Symbol;Acc:MGI:1339968]","protein_coding"
"10304","ENSMUSG00000039988.16","MGI:2139746","Ankrd13c","3",1,157652876,157713671,"ankyrin repeat domain 13c [Source:MGI Symbol;Acc:MGI:2139746]","protein_coding"
"10305","ENSMUSG00000028214.14","MGI:99844","Gem","4",1,11704457,11714752,"GTP binding protein overexpressed in skeletal muscle [Source:MGI Symbol;Acc:MGI:99844]","protein_coding"
"10306","ENSMUSG00000028217.12","MGI:1095414","Cdh17","4",1,11758147,11817895,"cadherin 17 [Source:MGI Symbol;Acc:MGI:1095414]","protein_coding"
"10310","ENSMUSG00000046667.15","MGI:1919647","Rbm12b1","4",1,12140264,12146731,"RNA binding motif protein 12 B1 [Source:MGI Symbol;Acc:MGI:1919647]","protein_coding"
"10311","ENSMUSG00000028218.20","MGI:1915349","Cibar1","4",-1,12153409,12172015,"CBY1 interacting BAR domain containing 1 [Source:MGI Symbol;Acc:MGI:1915349]","protein_coding"
"10312","ENSMUSG00000040969.16","MGI:1924919","Arhgef38","3",-1,132818039,132940710,"Rho guanine nucleotide exchange factor 38 [Source:MGI Symbol;Acc:MGI:1924919]","protein_coding"
"10313","ENSMUSG00000028273.17","MGI:1927489","Pdlim5","3",-1,141945351,142101454,"PDZ and LIM domain 5 [Source:MGI Symbol;Acc:MGI:1927489]","protein_coding"
"10422","ENSMUSG00000049225.16","MGI:2685870","Pdp1","4",-1,11958184,11966452,"pyruvate dehydrogenase phosphatase catalytic subunit 1 [Source:MGI Symbol;Acc:MGI:2685870]","protein_coding"
"10424","ENSMUSG00000049488.16","MGI:1923928","Tmem67","4",-1,12039363,12090020,"transmembrane protein 67 [Source:MGI Symbol;Acc:MGI:1923928]","protein_coding"
"10425","ENSMUSG00000052137.12","MGI:1924854","Rbm12b2","4",1,12089439,12096243,"RNA binding motif protein 12 B2 [Source:MGI Symbol;Acc:MGI:1924854]","protein_coding"
"10432","ENSMUSG00000049969.4","MGI:1919051","Plekhf2","4",-1,10988662,11007927,"pleckstrin homology domain containing, family F (with FYVE domain) member 2 [Source:MGI Symbol;Acc:MGI:1919051]","protein_coding"
"10433","ENSMUSG00000050323.15","MGI:1924197","Ndufaf6","4",-1,11051045,11076205,"NADH:ubiquinone oxidoreductase complex assembly factor 6 [Source:MGI Symbol;Acc:MGI:1924197]","protein_coding"
"10437","ENSMUSG00000028211.12","MGI:1926609","Trp53inp1","4",1,11156431,11174379,"transformation related protein 53 inducible nuclear protein 1 [Source:MGI Symbol;Acc:MGI:1926609]","protein_coding"
"10439","ENSMUSG00000028212.17","MGI:1329034","Ccne2","4",1,11191351,11204779,"cyclin E2 [Source:MGI Symbol;Acc:MGI:1329034]","protein_coding"
"10440","ENSMUSG00000040738.12","MGI:1919906","Ints8","4",-1,11199158,11254258,"integrator complex subunit 8 [Source:MGI Symbol;Acc:MGI:1919906]","protein_coding"
"10466","ENSMUSG00000023151.10","MGI:1920564","Lrrc69","4",-1,14623620,14796060,"leucine rich repeat containing 69 [Source:MGI Symbol;Acc:MGI:1920564]","protein_coding"
"10469","ENSMUSG00000040536.16","MGI:1916602","Necab1","4",-1,14952245,15149794,"N-terminal EF-hand calcium binding protein 1 [Source:MGI Symbol;Acc:MGI:1916602]","protein_coding"
"10504","ENSMUSG00000078686.12","MGI:3782918","Mup9","4",-1,60374045,60377951,"major urinary protein 9 [Source:MGI Symbol;Acc:MGI:3782918]","protein_coding"
"10506","ENSMUSG00000078683.10","MGI:97233","Mup1","4",-1,60454011,60457959,"major urinary protein 1 [Source:MGI Symbol;Acc:MGI:97233]","protein_coding"
"10509","ENSMUSG00000078680.4","MGI:1924164","Mup10","4",-1,60534259,60538198,"major urinary protein 10 [Source:MGI Symbol;Acc:MGI:1924164]","protein_coding"
"10511","ENSMUSG00000073834.11","MGI:3709617","Mup11","4",-1,60614465,60618410,"major urinary protein 11 [Source:MGI Symbol;Acc:MGI:3709617]","protein_coding"
"10513","ENSMUSG00000094793.2","MGI:3780193","Mup12","4",-1,60693382,60697325,"major urinary protein 12 [Source:MGI Symbol;Acc:MGI:3780193]","protein_coding"
"10515","ENSMUSG00000110439.2","MGI:5434675","Mup22","4",-1,60773588,60777462,"major urinary protein 22 [Source:MGI Symbol;Acc:MGI:5434675]","protein_coding"
"10517","ENSMUSG00000089873.9","MGI:3702003","Mup13","4",-1,61180306,61184285,"major urinary protein 13 [Source:MGI Symbol;Acc:MGI:3702003]","protein_coding"
"10518","ENSMUSG00000073830.12","MGI:3702005","Mup14","4",-1,61256022,61259999,"major urinary protein 14 [Source:MGI Symbol;Acc:MGI:3702005]","protein_coding"
"10519","ENSMUSG00000096674.2","MGI:3780235","Mup15","4",-1,61354027,61357980,"major urinary protein 15 [Source:MGI Symbol;Acc:MGI:3780235]","protein_coding"
"10520","ENSMUSG00000078675.10","MGI:3780250","Mup16","4",-1,61433829,61437768,"major urinary protein 16 [Source:MGI Symbol;Acc:MGI:3780250]","protein_coding"
"10521","ENSMUSG00000096688.2","MGI:3705217","Mup17","4",-1,61510166,61514108,"major urinary protein 17 [Source:MGI Symbol;Acc:MGI:3705217]","protein_coding"
"10522","ENSMUSG00000066151.13","MGI:2444782","Fkbp15","4",-1,62218579,62278785,"FK506 binding protein 15 [Source:MGI Symbol;Acc:MGI:2444782]","protein_coding"
"10527","ENSMUSG00000028358.16","MGI:1919950","Zfp618","4",1,62883810,63057945,"zinc finger protein 618 [Source:MGI Symbol;Acc:MGI:1919950]","protein_coding"
"10528","ENSMUSG00000028356.5","MGI:88002","Ambp","4",-1,63061512,63073036,"alpha 1 microglobulin/bikunin precursor [Source:MGI Symbol;Acc:MGI:88002]","protein_coding"
"10529","ENSMUSG00000028357.14","MGI:1098232","Kif12","4",-1,63083867,63090368,"kinesin family member 12 [Source:MGI Symbol;Acc:MGI:1098232]","protein_coding"
"10530","ENSMUSG00000045672.16","MGI:2672118","Col27a1","4",1,63132241,63253228,"collagen, type XXVII, alpha 1 [Source:MGI Symbol;Acc:MGI:2672118]","protein_coding"
"10532","ENSMUSG00000039196.3","MGI:97443","Orm1","4",1,63262797,63266400,"orosomucoid 1 [Source:MGI Symbol;Acc:MGI:97443]","protein_coding"
"10534","ENSMUSG00000028359.5","MGI:97445","Orm3","4",1,63274399,63277748,"orosomucoid 3 [Source:MGI Symbol;Acc:MGI:97445]","protein_coding"
"10535","ENSMUSG00000061540.4","MGI:97444","Orm2","4",1,63280686,63284115,"orosomucoid 2 [Source:MGI Symbol;Acc:MGI:97444]","protein_coding"
"10536","ENSMUSG00000039158.12","MGI:2140340","Akna","4",-1,63285362,63321591,"AT-hook transcription factor [Source:MGI Symbol;Acc:MGI:2140340]","protein_coding"
"10537","ENSMUSG00000039137.19","MGI:2682003","Whrn","4",-1,63333147,63414228,"whirlin [Source:MGI Symbol;Acc:MGI:2682003]","protein_coding"
"10538","ENSMUSG00000039105.7","MGI:1913540","Atp6v1g1","4",1,63463009,63468987,"ATPase, H+ transporting, lysosomal V1 subunit G1 [Source:MGI Symbol;Acc:MGI:1913540]","protein_coding"
"10539","ENSMUSG00000045917.18","MGI:1913920","Tmem268","4",1,63477018,63504594,"transmembrane protein 268 [Source:MGI Symbol;Acc:MGI:1913920]","protein_coding"
"10542","ENSMUSG00000084782.3","MGI:3701774","Tex53","4",-1,63515138,63523498,"testis expressed 53 [Source:MGI Symbol;Acc:MGI:3701774]","protein_coding"
"10543","ENSMUSG00000058935.15","MGI:1922774","Tex48","4",-1,63525326,63540665,"testis expressed 48 [Source:MGI Symbol;Acc:MGI:1922774]","protein_coding"
"10545","ENSMUSG00000028362.3","MGI:88328","Tnfsf8","4",-1,63749545,63779584,"tumor necrosis factor (ligand) superfamily, member 8 [Source:MGI Symbol;Acc:MGI:88328]","protein_coding"
"10547","ENSMUSG00000028364.16","MGI:101922","Tnc","4",-1,63878022,63965252,"tenascin C [Source:MGI Symbol;Acc:MGI:101922]","protein_coding"
"10552","ENSMUSG00000028370.8","MGI:97479","Pappa","4",1,65042411,65275746,"pregnancy-associated plasma protein A [Source:MGI Symbol;Acc:MGI:97479]","protein_coding"
"10553","ENSMUSG00000028373.17","MGI:1889277","Astn2","4",-1,65299040,66322848,"astrotactin 2 [Source:MGI Symbol;Acc:MGI:1889277]","protein_coding"
"10554","ENSMUSG00000051675.14","MGI:1917057","Trim32","4",1,65523223,65534475,"tripartite motif-containing 32 [Source:MGI Symbol;Acc:MGI:1917057]","protein_coding"
"10558","ENSMUSG00000039005.14","MGI:96824","Tlr4","4",1,66745821,66848521,"toll-like receptor 4 [Source:MGI Symbol;Acc:MGI:96824]","protein_coding"
"10566","ENSMUSG00000028351.6","MGI:1928478","Brinp1","4",-1,68679751,68872634,"bone morphogenic protein/retinoic acid inducible neural specific 1 [Source:MGI Symbol;Acc:MGI:1928478]","protein_coding"
"10573","ENSMUSG00000039298.17","MGI:2384875","Cdk5rap2","4",-1,70135093,70328680,"CDK5 regulatory subunit associated protein 2 [Source:MGI Symbol;Acc:MGI:2384875]","protein_coding"
"10576","ENSMUSG00000039270.10","MGI:1918264","Megf9","4",-1,70345302,70453232,"multiple EGF-like-domains 9 [Source:MGI Symbol;Acc:MGI:1918264]","protein_coding"
"10586","ENSMUSG00000059343.5","MGI:2447811","Aldoart1","4",-1,72768820,72770871,"aldolase 1 A, retrogene 1 [Source:MGI Symbol;Acc:MGI:2447811]","protein_coding"
"10590","ENSMUSG00000096530.8","MGI:3702099","Msantd5f7","4",-1,73790456,73794503,"Myb/SANT DNA binding domain containing 5 family member 7 [Source:MGI Symbol;Acc:MGI:3702099]","protein_coding"
"10591","ENSMUSG00000096750.8","MGI:3702097","Msantd5f8","4",-1,73805303,73809349,"Myb/SANT DNA binding domain containing 5 family member 8 [Source:MGI Symbol;Acc:MGI:3702097]","protein_coding"
"10592","ENSMUSG00000096333.8","MGI:3702126","Msantd5f10","4",-1,73820144,73824190,"Myb/SANT DNA binding domain containing 5 family member 10 [Source:MGI Symbol;Acc:MGI:3702126]","protein_coding"
"10593","ENSMUSG00000093962.8","MGI:3702095","Msantd5f9","4",-1,73834965,73838997,"Myb/SANT DNA binding domain containing 5 family member 9 [Source:MGI Symbol;Acc:MGI:3702095]","protein_coding"
"10595","ENSMUSG00000049122.18","MGI:2442466","Frmd3","4",1,73931679,74120451,"FERM domain containing 3 [Source:MGI Symbol;Acc:MGI:2442466]","protein_coding"
"10598","ENSMUSG00000028397.14","MGI:1924054","Kdm4c","4",1,74160734,74324097,"lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]","protein_coding"
"10606","ENSMUSG00000028398.9","MGI:1914178","Dmac1","4",-1,75195591,75196542,"distal membrane arm assembly complex 1 [Source:MGI Symbol;Acc:MGI:1914178]","protein_coding"
"10622","ENSMUSG00000005994.15","MGI:98881","Tyrp1","4",1,80752360,80769956,"tyrosinase-related protein 1 [Source:MGI Symbol;Acc:MGI:98881]","protein_coding"
"10623","ENSMUSG00000048706.4","MGI:106510","Lurap1l","4",1,80828883,80873865,"leucine rich adaptor protein 1-like [Source:MGI Symbol;Acc:MGI:106510]","protein_coding"
"10632","ENSMUSG00000008575.18","MGI:103188","Nfib","4",-1,82208410,82623987,"nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]","protein_coding"
"10637","ENSMUSG00000038172.15","MGI:1917113","Ttc39b","4",-1,83138537,83242492,"tetratricopeptide repeat domain 39B [Source:MGI Symbol;Acc:MGI:1917113]","protein_coding"
"10640","ENSMUSG00000028483.14","MGI:1916338","Snapc3","4",1,83335961,83385913,"small nuclear RNA activating complex, polypeptide 3 [Source:MGI Symbol;Acc:MGI:1916338]","protein_coding"
"10641","ENSMUSG00000028484.17","MGI:2142116","Psip1","4",-1,83373917,83404696,"PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]","protein_coding"
"10644","ENSMUSG00000052407.18","MGI:1922152","Ccdc171","4",1,83443782,83782907,"coiled-coil domain containing 171 [Source:MGI Symbol;Acc:MGI:1922152]","protein_coding"
"10650","ENSMUSG00000028487.19","MGI:2443805","Bnc2","4",-1,84193332,84593512,"basonuclin zinc finger protein 2 [Source:MGI Symbol;Acc:MGI:2443805]","protein_coding"
"10653","ENSMUSG00000038070.16","MGI:2443104","Cntln","4",1,84802546,85050158,"centlein, centrosomal protein [Source:MGI Symbol;Acc:MGI:2443104]","protein_coding"
"10655","ENSMUSG00000066113.17","MGI:1924989","Adamtsl1","4",1,85432409,86346622,"ADAMTS-like 1 [Source:MGI Symbol;Acc:MGI:1924989]","protein_coding"
"10659","ENSMUSG00000028492.14","MGI:1923061","Saxo1","4",-1,86362878,86476565,"stabilizer of axonemal microtubules 1 [Source:MGI Symbol;Acc:MGI:1923061]","protein_coding"
"10661","ENSMUSG00000070934.7","MGI:1915691","Rraga","4",1,86493905,86495522,"Ras-related GTP binding A [Source:MGI Symbol;Acc:MGI:1915691]","protein_coding"
"10662","ENSMUSG00000038047.19","MGI:1923389","Haus6","4",-1,86497092,86530292,"HAUS augmin-like complex, subunit 6 [Source:MGI Symbol;Acc:MGI:1923389]","protein_coding"
"10667","ENSMUSG00000028426.11","MGI:105128","Rad23b","4",1,55350043,55392237,"RAD23 homolog B, nucleotide excision repair protein [Source:MGI Symbol;Acc:MGI:105128]","protein_coding"
"10671","ENSMUSG00000003032.9","MGI:1342287","Klf4","4",-1,55527143,55532466,"Kruppel-like transcription factor 4 (gut) [Source:MGI Symbol;Acc:MGI:1342287]","protein_coding"
"10675","ENSMUSG00000040410.15","MGI:2140367","Fbxl4","4",1,22357543,22434091,"F-box and leucine-rich repeat protein 4 [Source:MGI Symbol;Acc:MGI:2140367]","protein_coding"
"10678","ENSMUSG00000095139.3","MGI:101895","Pou3f2","4",-1,22482780,22488366,"POU domain, class 3, transcription factor 2 [Source:MGI Symbol;Acc:MGI:101895]","protein_coding"
"10689","ENSMUSG00000045751.17","MGI:2684980","Mms22l","4",1,24496451,24602950,"MMS22-like, DNA repair protein [Source:MGI Symbol;Acc:MGI:2684980]","protein_coding"
"10690","ENSMUSG00000055296.15","MGI:2445107","Tmem245","4",-1,56866923,56947437,"transmembrane protein 245 [Source:MGI Symbol;Acc:MGI:2445107]","protein_coding"
"10691","ENSMUSG00000045589.8","MGI:2442704","Frrs1l","4",-1,56957173,56990391,"ferric-chelate reductase 1 like [Source:MGI Symbol;Acc:MGI:2442704]","protein_coding"
"10692","ENSMUSG00000028434.13","MGI:1859149","Epb41l4b","4",-1,56991972,57143437,"erythrocyte membrane protein band 4.1 like 4b [Source:MGI Symbol;Acc:MGI:1859149]","protein_coding"
"10693","ENSMUSG00000040387.17","MGI:3612790","Klhl32","4",-1,24612554,24851124,"kelch-like 32 [Source:MGI Symbol;Acc:MGI:3612790]","protein_coding"
"10694","ENSMUSG00000028261.14","MGI:1915743","Ndufaf4","4",1,24898083,24905001,"NADH:ubiquinone oxidoreductase complex assembly factor 4 [Source:MGI Symbol;Acc:MGI:1915743]","protein_coding"
"10696","ENSMUSG00000038764.15","MGI:105307","Ptpn3","4",-1,57190841,57301837,"protein tyrosine phosphatase, non-receptor type 3 [Source:MGI Symbol;Acc:MGI:105307]","protein_coding"
"10697","ENSMUSG00000040372.3","MGI:2135884","Gpr63","4",1,24966407,25009233,"G protein-coupled receptor 63 [Source:MGI Symbol;Acc:MGI:2135884]","protein_coding"
"10699","ENSMUSG00000028259.14","MGI:1913192","Fhl5","4",-1,25199908,25242876,"four and a half LIM domains 5 [Source:MGI Symbol;Acc:MGI:1913192]","protein_coding"
"10702","ENSMUSG00000090053.10","MGI:5141924","Pakap","4",1,57434247,57712016,"paralemmin A kinase anchor protein [Source:MGI Symbol;Acc:MGI:5141924]","protein_coding"
"10704","ENSMUSG00000089945.14","MGI:5141924","Pakap","4",1,57568179,57896982,"paralemmin A kinase anchor protein [Source:MGI Symbol;Acc:MGI:5141924]","protein_coding"
"10705","ENSMUSG00000040359.15","MGI:1914740","Ufl1","4",-1,25248600,25281821,"UFM1 specific ligase 1 [Source:MGI Symbol;Acc:MGI:1914740]","protein_coding"
"10706","ENSMUSG00000038729.25","MGI:5141924","Pakap","4",1,57717657,57896984,"paralemmin A kinase anchor protein [Source:MGI Symbol;Acc:MGI:5141924]","protein_coding"
"10718","ENSMUSG00000055373.9","MGI:1330859","Fut9","4",-1,25609332,25800244,"fucosyltransferase 9 [Source:MGI Symbol;Acc:MGI:1330859]","protein_coding"
"10724","ENSMUSG00000040520.8","MGI:2444484","Manea","4",-1,26324506,26346891,"mannosidase, endo-alpha [Source:MGI Symbol;Acc:MGI:2444484]","protein_coding"
"10743","ENSMUSG00000028289.13","MGI:95276","Epha7","4",1,28813131,28967499,"Eph receptor A7 [Source:MGI Symbol;Acc:MGI:95276]","protein_coding"
"10753","ENSMUSG00000028284.14","MGI:1346877","Map3k7","4",1,31964097,32023467,"mitogen-activated protein kinase kinase kinase 7 [Source:MGI Symbol;Acc:MGI:1346877]","protein_coding"
"10759","ENSMUSG00000040270.17","MGI:894679","Bach2","4",1,32238804,32586108,"BTB and CNC homology, basic leucine zipper transcription factor 2 [Source:MGI Symbol;Acc:MGI:894679]","protein_coding"
"10761","ENSMUSG00000051056.6","MGI:1339969","Gja10","4",-1,32596960,32602760,"gap junction protein, alpha 10 [Source:MGI Symbol;Acc:MGI:1339969]","protein_coding"
"10763","ENSMUSG00000028282.13","MGI:1349399","Casp8ap2","4",1,32615451,32653265,"caspase 8 associated protein 2 [Source:MGI Symbol;Acc:MGI:1349399]","protein_coding"
"10765","ENSMUSG00000050812.19","MGI:2140220","Ecpas","4",-1,58798911,58912749,"Ecm29 proteasome adaptor and scaffold [Source:MGI Symbol;Acc:MGI:2140220]","protein_coding"
"10766","ENSMUSG00000058006.13","MGI:1926159","Mdn1","4",1,32657119,32775217,"midasin AAA ATPase 1 [Source:MGI Symbol;Acc:MGI:1926159]","protein_coding"
"10767","ENSMUSG00000045854.5","MGI:1917573","Lyrm2","4",1,32800253,32801559,"LYR motif containing 2 [Source:MGI Symbol;Acc:MGI:1917573]","protein_coding"
"10768","ENSMUSG00000038598.10","MGI:2140313","Shoc1","4",-1,59043753,59138983,"shortage in chiasmata 1 [Source:MGI Symbol;Acc:MGI:2140313]","protein_coding"
"10771","ENSMUSG00000028381.9","MGI:1332243","Ugcg","4",1,59189257,59222833,"UDP-glucose ceramide glucosyltransferase [Source:MGI Symbol;Acc:MGI:1332243]","protein_coding"
"10772","ENSMUSG00000038578.16","MGI:3651543","Susd1","4",-1,59314683,59438633,"sushi domain containing 1 [Source:MGI Symbol;Acc:MGI:3651543]","protein_coding"
"10774","ENSMUSG00000040183.14","MGI:2154278","Ankrd6","4",-1,32804035,32950841,"ankyrin repeat domain 6 [Source:MGI Symbol;Acc:MGI:2154278]","protein_coding"
"10776","ENSMUSG00000028277.14","MGI:1926245","Ube2j1","4",1,33031416,33052363,"ubiquitin-conjugating enzyme E2J 1 [Source:MGI Symbol;Acc:MGI:1926245]","protein_coding"
"10778","ENSMUSG00000023267.11","MGI:95626","Gabrr2","4",1,33062999,33095865,"gamma-aminobutyric acid type A receptor subunit rho 2 [Source:MGI Symbol;Acc:MGI:95626]","protein_coding"
"10779","ENSMUSG00000028280.10","MGI:95625","Gabrr1","4",1,33132521,33163588,"gamma-aminobutyric acid type A receptor subunit rho 1 [Source:MGI Symbol;Acc:MGI:95625]","protein_coding"
"10780","ENSMUSG00000054659.14","MGI:2685270","Pm20d2","4",-1,33174230,33189737,"peptidase M20 domain containing 2 [Source:MGI Symbol;Acc:MGI:2685270]","protein_coding"
"10782","ENSMUSG00000054679.9","MGI:2661424","Srsf12","4",1,33208991,33233340,"serine and arginine-rich splicing factor 12 [Source:MGI Symbol;Acc:MGI:2661424]","protein_coding"
"10783","ENSMUSG00000040128.10","MGI:1917838","Pnrc1","4",-1,33245423,33290163,"proline-rich nuclear receptor coactivator 1 [Source:MGI Symbol;Acc:MGI:1917838]","protein_coding"
"10784","ENSMUSG00000028382.16","MGI:1923334","Ptbp3","4",-1,59471868,59549364,"polypyrimidine tract binding protein 3 [Source:MGI Symbol;Acc:MGI:1923334]","protein_coding"
"10785","ENSMUSG00000028274.18","MGI:1329041","Rngtt","4",1,33310311,33502614,"RNA guanylyltransferase and 5'-phosphatase [Source:MGI Symbol;Acc:MGI:1329041]","protein_coding"
"10791","ENSMUSG00000044288.7","MGI:104615","Cnr1","4",1,33924593,33948831,"cannabinoid receptor 1 [Source:MGI Symbol;Acc:MGI:104615]","protein_coding"
"10792","ENSMUSG00000028383.18","MGI:1919729","Hsdl2","4",1,59581563,59618689,"hydroxysteroid dehydrogenase like 2 [Source:MGI Symbol;Acc:MGI:1919729]","protein_coding"
"10794","ENSMUSG00000028264.17","MGI:1914902","Spaca1","4",-1,34024874,34050191,"sperm acrosome associated 1 [Source:MGI Symbol;Acc:MGI:1914902]","protein_coding"
"10796","ENSMUSG00000038544.15","MGI:1913459","Inip","4",-1,59769637,59801589,"INTS3 and NABP interacting protein [Source:MGI Symbol;Acc:MGI:1913459]","protein_coding"
"10797","ENSMUSG00000028385.15","MGI:2443882","Snx30","4",1,59805840,59904737,"sorting nexin family member 30 [Source:MGI Symbol;Acc:MGI:2443882]","protein_coding"
"10802","ENSMUSG00000028386.2","MGI:1353616","Slc46a2","4",-1,59905126,59915056,"solute carrier family 46, member 2 [Source:MGI Symbol;Acc:MGI:1353616]","protein_coding"
"10805","ENSMUSG00000041333.7","MGI:97236","Mup4","4",-1,59956804,59960710,"major urinary protein 4 [Source:MGI Symbol;Acc:MGI:97236]","protein_coding"
"10808","ENSMUSG00000078689.9","MGI:3650962","Mup6","4",1,59964294,60007274,"major urinary protein 6 [Source:MGI Symbol;Acc:MGI:3650962]","protein_coding"
"10809","ENSMUSG00000028291.8","MGI:1889364","Akirin2","4",1,34550937,34566908,"akirin 2 [Source:MGI Symbol;Acc:MGI:1889364]","protein_coding"
"10810","ENSMUSG00000073842.11","MGI:3709615","Mup7","4",-1,60066469,60070475,"major urinary protein 7 [Source:MGI Symbol;Acc:MGI:3709615]","protein_coding"
"10811","ENSMUSG00000078688.12","MGI:97234","Mup2","4",-1,60135932,60154289,"major urinary protein 2 [Source:MGI Symbol;Acc:MGI:97234]","protein_coding"
"10812","ENSMUSG00000078687.10","MGI:3709619","Mup8","4",-1,60218621,60222599,"major urinary protein 8 [Source:MGI Symbol;Acc:MGI:3709619]","protein_coding"
"10814","ENSMUSG00000040044.12","MGI:1354944","Orc3","4",-1,34570796,34614944,"origin recognition complex, subunit 3 [Source:MGI Symbol;Acc:MGI:1354944]","protein_coding"
"10815","ENSMUSG00000028292.15","MGI:1923596","Rars2","4",1,34614957,34660167,"arginyl-tRNA synthetase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:1923596]","protein_coding"
"10816","ENSMUSG00000028293.15","MGI:1345622","Slc35a1","4",-1,34663257,34687438,"solute carrier family 35 (CMP-sialic acid transporter), member 1 [Source:MGI Symbol;Acc:MGI:1345622]","protein_coding"
"10818","ENSMUSG00000028294.16","MGI:1916579","Cfap206","4",-1,34688559,34730206,"cilia and flagella associated protein 206 [Source:MGI Symbol;Acc:MGI:1916579]","protein_coding"
"10820","ENSMUSG00000028295.15","MGI:1913541","Smim8","4",-1,34768664,34778423,"small integral membrane protein 8 [Source:MGI Symbol;Acc:MGI:1913541]","protein_coding"
"10821","ENSMUSG00000039967.15","MGI:1353423","Zfp292","4",-1,34803113,34882960,"zinc finger protein 292 [Source:MGI Symbol;Acc:MGI:1353423]","protein_coding"
"10823","ENSMUSG00000028298.11","MGI:88390","Cga","4",1,34893779,34907370,"glycoprotein hormones, alpha subunit [Source:MGI Symbol;Acc:MGI:88390]","protein_coding"
"10825","ENSMUSG00000073910.11","MGI:2664539","Mob3b","4",-1,34949074,35157484,"MOB kinase activator 3B [Source:MGI Symbol;Acc:MGI:2664539]","protein_coding"
"10826","ENSMUSG00000042993.7","MGI:2683287","Ifnk","4",1,35152056,35154005,"interferon kappa [Source:MGI Symbol;Acc:MGI:2683287]","protein_coding"
